param boardSize := 8;

param cost:
    1   2   3   4   5   6   7   8 := 
1   1   3   5   7   9   11  9   11
2   6   5   4   2   9   8   3   2
3   4   3   1   2   6   7   9   1
4   2   5   9   0   4   3   21  5
5   9   1   3   1   5   2   4   5
6   11  8   9   2   6   4   10  7
7   8   12  4   7   6   2   9   11
8   3   9   11  2   4   7   8   10;

param preOrdered:
    1   2   3   4   5   6   7   8 := 
1   0   0   0   0   1   0   0   0
2   0   0   0   0   0   0   0   0
3   0   0   0   1   0   0   0   0
4   0   0   0   0   0   0   0   0
5   0   0   0   0   0   0   0   0
6   0   0   0   0   0   0   0   0
7   0   0   0   0   0   0   0   0
8   0   0   0   0   0   0   0   0;
